time_s,方案0-常绿(基线),方案A-短绿灯(绿2s红7s),方案B-长绿灯(绿6s红3s)
0.0,1,1,1
10.0,2,2,2
20.0,3,3,3
30.0,4,5,4
40.0,4,5,4
50.0,5,5,5
60.0,5,7,4
70.0,5,7,6
80.0,5,8,6
90.0,5,8,4
100.0,3,8,6
110.0,5,9,5
120.0,4,9,6
130.0,5,9,5
140.0,5,9,5
150.0,4,10,4
160.0,6,11,6
170.0,4,10,5
180.0,5,12,5
190.0,4,11,4
200.0,3,12,3
210.0,4,13,3
220.0,5,13,5
230.0,4,12,3
240.0,6,13,5
250.0,5,14,4
260.0,4,14,6
270.0,5,14,5
280.0,3,14,6
290.0,5,15,5
300.0,4,16,5
310.0,6,16,6
320.0,4,17,3
330.0,4,17,4
340.0,4,18,4
350.0,5,18,4
360.0,4,18,7
370.0,5,19,5
380.0,4,18,5
390.0,5,19,5
400.0,5,20,4
410.0,5,20,5
420.0,5,21,4
430.0,3,20,4
440.0,5,21,4
450.0,5,21,6
460.0,4,21,6
470.0,5,22,4
480.0,3,23,4
490.0,5,23,5
500.0,5,23,4
510.0,6,24,6
520.0,5,24,5
530.0,3,25,6
540.0,4,26,4
550.0,4,26,3
560.0,5,26,5
570.0,4,26,4
580.0,5,27,5
590.0,4,26,6
600.0,5,27,5
610.0,4,28,4
620.0,5,29,5
630.0,4,29,3
640.0,5,29,5
650.0,4,29,5
660.0,4,30,4
670.0,6,30,6
680.0,4,31,3
690.0,4,31,3
700.0,5,31,5
710.0,4,31,6
720.0,6,33,6
730.0,4,32,4
740.0,3,32,3
750.0,5,33,5
760.0,4,33,4
770.0,3,34,3
780.0,4,34,4
790.0,3,34,3
800.0,4,36,4
810.0,4,35,4
820.0,4,36,4
830.0,5,37,5
840.0,5,36,5
850.0,6,37,6
860.0,4,38,4
870.0,4,37,3
880.0,5,39,5
890.0,5,38,5
900.0,4,40,3
910.0,5,39,5
920.0,4,40,5
930.0,6,41,6
940.0,5,40,5
950.0,4,40,3
960.0,5,41,5
970.0,5,42,5
980.0,4,42,4
990.0,5,43,5
1000.0,3,43,3
1010.0,4,43,4
1020.0,4,44,3
1030.0,6,44,6
1040.0,4,45,5
1050.0,3,44,3
1060.0,4,46,4
1070.0,4,45,4
1080.0,4,46,4
1090.0,4,46,4
1100.0,4,46,4
1110.0,4,47,4
1120.0,5,48,4
1130.0,5,48,5
1140.0,5,48,5
1150.0,5,49,6
1160.0,6,49,6
1170.0,5,50,5
1180.0,4,50,6
1190.0,4,50,3
1200.0,5,50,5
1210.0,5,51,7
1220.0,4,51,3
1230.0,5,51,5
1240.0,4,51,5
1250.0,4,50,4
1260.0,5,51,5
1270.0,4,51,4
1280.0,4,51,4
1290.0,5,51,5
1300.0,5,51,5
1310.0,5,50,5
1320.0,4,51,5
1330.0,4,51,4
1340.0,6,51,6
1350.0,4,50,4
1360.0,5,50,4
1370.0,5,51,5
1380.0,4,50,6
1390.0,5,50,5
1400.0,5,51,5
1410.0,4,50,4
1420.0,6,51,5
1430.0,6,50,5
1440.0,5,50,5
1450.0,5,50,5
1460.0,4,50,5
1470.0,4,50,3
1480.0,5,50,5
1490.0,4,51,5
1500.0,5,50,6
1510.0,4,50,6
1520.0,4,51,4
1530.0,5,51,5
1540.0,3,50,3
1550.0,5,51,5
1560.0,4,50,4
1570.0,5,50,5
1580.0,5,51,4
1590.0,5,51,5
1600.0,4,51,4
1610.0,5,51,5
1620.0,5,51,7
1630.0,5,50,5
1640.0,6,51,6
1650.0,4,50,4
1660.0,4,51,4
1670.0,4,50,3
1680.0,6,51,6
1690.0,4,50,6
1700.0,4,51,4
1710.0,4,50,4
1720.0,5,51,5
1730.0,5,51,4
1740.0,4,51,4
1750.0,4,51,5
1760.0,4,50,5
1770.0,4,50,4
1780.0,5,51,5
1790.0,4,51,5
1800.0,6,51,5
1810.0,6,51,5
1820.0,5,50,6
1830.0,5,51,7
1840.0,6,50,6
1850.0,4,51,4
1860.0,6,50,6
1870.0,5,50,5
1880.0,5,51,7
1890.0,6,51,5
1900.0,4,51,3
1910.0,5,50,5
1920.0,4,50,6
1930.0,5,51,5
1940.0,4,51,4
1950.0,4,50,4
1960.0,5,51,5
1970.0,4,51,4
1980.0,6,50,6
1990.0,4,50,4
